property,propertyLabel,propertyDescription,domains,ranges
http://www.wikidata.org/entity/P664,organizer,person or institution organizing an event,"series of concerts, recurring event, fictional occurrence, occurrence, exhibition, project, fair","human, organization, social movement, position, group of humans, fictional organization, recurring event, fictional organism"
http://www.wikidata.org/entity/P598,commander of (DEPRECATED),"for persons who are notable as commanding officers, the units they commanded","person, fictional character","vehicle, military operation, military unit, secret service, fictional military unit, military equipment, military facility, fictional military facility, armed organization, fictional mode of transport"
http://www.wikidata.org/entity/P702,encoded by,the gene that encodes some gene product,,"gene, transposable element"
http://www.wikidata.org/entity/P376,located on astronomical body,single astronomical body on which features or places are situated,"shell of an astronomical object, fictional location, geographic location, saros series, geographical feature, geographic region, astronomical object, natural satellite","star, fictional astronomical object, substellar object"
http://www.wikidata.org/entity/P276,location,"location of the object, structure or event. In the case of an administrative entity as containing item use P131. For statistical entities use P8138. In the case of a geographic entity use P706. Use P7153 for locations associated with the object",,"orbit, astronomical object, library, mass media, soil, organization, building, geographic region, Lagrangian point, geographical feature, cyberspace, archive, club, educational institution, event, fictional location, space, geographic location, mythical location, anatomical structure, storage, facility, part (piece), physical location, fictional vessel, extremity, shell of an astronomical object, MediaWiki namespace, shelving location"
http://www.wikidata.org/entity/P562,central bank/issuer,central bank or other issuing authority for the currency,currency,organization
http://www.wikidata.org/entity/P559,terminus,"the feature (intersecting road, train station, etc.) at the end of a linear feature","geographic location, itinerary, transport route, aerial tramway, public transport, thoroughfare","port, geographic location, public transport, station"
http://www.wikidata.org/entity/P397,parent astronomical body,major astronomical body the item belongs to,"fictional astronomical object, spacecraft, meteor shower, astronomical object, spaceflight, orbit","astronomical object, fictional astronomical object, astronomical object type"
http://www.wikidata.org/entity/P399,companion of,two or more astronomic bodies of the same type relating to each other,astronomical object,astronomical object
http://www.wikidata.org/entity/P398,child astronomical body,minor body that belongs to the item,"universe, astronomical object type, fictional astronomical object, hypothetical astronomical object, astronomical object","astronomical object, space probe, artificial satellite, meteor shower, fictional astronomical object, hypothetical astronomical object, astronomical object type"
http://www.wikidata.org/entity/P291,place of publication,geographical place of publication of the edition (use 1st edition when referring to works),"group of works, version, edition or translation, source of information, musical release, work, film","country, radio station, trade fair, geographic region, geographical feature, DVD region code, Internet television, film festival, periodical, computer network, German public state broadcaster, television channel, media company, television network, educational institution, fictional location, theatre festival, television station, historical country, geographic location, economic union, sovereign state, film festival edition"
http://www.wikidata.org/entity/P694,replaced synonym (for nom. nov.),"previously published name on which a replacement name (avowed substitute, nomen novum) is based","validly published name, taxon","taxon, scientific name, validly published name"
http://www.wikidata.org/entity/P703,found in taxon,the taxon in which the item can be found,"type of chemical entity, group of stereoisomers, animal shelter created by an animal, leaf mine, anatomical entity, protein-containing complex, group or class of chemical substances, biological pathway, biological process, missense mutation, gall, protein complex, protein family, protein domain, cell type, chemical substance, polymer, ion, egg, chromosome, enzyme, gene, cell, genome, anatomy",taxon
http://www.wikidata.org/entity/P641,sport,sport that the subject participates or participated in or is associated with,,"sport, type of sport, fictional sport"
http://www.wikidata.org/entity/P607,conflict,"battles, wars or other military engagements in which the person or item participated","military term, group of living things, group of humans, individual animal, convoy series, character that may or may not be fictional, military equipment, fictional military organization, fictional military unit, headquarters, vehicle model, weapon model, weapon family, ship's cat, group of fictional characters, memorial, illegal newspaper, military communications, theater of war, convoy, declaration of war, sabotage, military unit, military tactics, physical tool, fictional character, military operation plan, fortification, animal, human","coup d'état, military operation, conflict, war front, theater of war, intervention, mythical war, massacre, campaign, fictional occurrence"
http://www.wikidata.org/entity/P306,operating system,operating system (OS) on which a software works or the OS installed on hardware,"computer model, video game compilation, appliance, typeface, programming language, video game, software",operating system
http://www.wikidata.org/entity/P708,diocese,administrative division of the church to which the element belongs; use P5607 for other types of ecclesiastical territorial entities,,"apostolic vicariate, apostolic prefecture, territorial abbey, diocese, eparchy, apostolic exarchate, apostolic administration, ecclesiastical district, military ordinariate, Ecclesiastical circumscription immediately subject to the Holy See, diocese of the Catholic Church, archeparchy, Catholic archdiocese not metropolitan, Roman Catholic metropolitan archdiocese"
http://www.wikidata.org/entity/P610,highest point,"point with highest elevation in a region, or on the path of a race or route","fictional location, mythical location, geographic location, racing, geographic region, planet","volcano, mountain, hill, mountain range, mountain pass, summit, geographic location, highest point, fictional location"
http://www.wikidata.org/entity/P706,located in/on physical feature,located on the specified (geo)physical feature. Should not be used when the value is only political/administrative (P131) or a mountain range (P4552).,"geological structure, monument, scientific instrument, fictional location, natural material, mythical location, geographic location, view, sculpture, geographical feature, natural phenomenon, occurrence, human settlement, landform, planet","geographic region, geographical feature, geographic location, natural material, fictional location, mythical location, geological structure"
http://www.wikidata.org/entity/P618,source of energy,describes the source of energy an animated object (machine or animal) uses,"abstract entity, concrete object","energy, combustible matter, reducing agent, oxidizing agent, form of energy, energy storage, energy source"
http://www.wikidata.org/entity/P678,incertae sedis,qualifier for P171 (parent taxon) to mark which intermediate ranks are incertae sedis (the classification or placement of a particular organism or taxonomic group is uncertain or unclear),taxon,taxonomic rank
http://www.wikidata.org/entity/P707,spacecraft bus,general model on which multiple-production spacecraft is based,spacecraft,spacecraft bus
http://www.wikidata.org/entity/P355,has subsidiary,"subsidiary of a company or organization; generally a fully owned separate corporation. Compare with ""business division"" (P199). Opposite of parent organization (P749).","fictional organization, project, corporation, organization","project, organization, facility, fictional organization"
http://www.wikidata.org/entity/P282,writing system,"alphabet, character set or other system of writing used by a language, word, or text, supported by a typeface",,"writing system, alphabet, orthography, orthographic transcription, language in script"
http://www.wikidata.org/entity/P358,discography,item for list pages with discography of artist or band,"game franchise, musical series, dramatico-musical work, television character, animated character, group of humans, media mix, group of fictional characters, fictional human, video game series, television series, musical work, person, media franchise, record label",discography
http://www.wikidata.org/entity/P669,located on street,"street, road, or square, where the item is located. To add the number, use Property:P670 ""house number"" as qualifier. Use property P6375 ""street address"", if there is no item for the street","physical sign, business, fictional location, collection, work of art, occurrence, geographical feature, periodical, organization, building","road, thoroughfare, street, square, highway, alley, fictional thoroughfare"
http://www.wikidata.org/entity/P720,asteroid spectral type,"spectral classifications of asteroids based on  spectral shape, color, and albedo",asteroid,asteroid spectral type
http://www.wikidata.org/entity/P375,space launch vehicle,type of rocket or other vehicle for launching subject payload into outer space,"payload, scientific instrument, space mission, rover, rocket, spacecraft, spaceflight","booster, sounding rocket, launch vehicle"
http://www.wikidata.org/entity/P277,programmed in,the programming language(s) in which the software is developed,"query, program code, database, software","programming language, software library, application programming interface"
http://www.wikidata.org/entity/P553,website account on,website that the person or organization has an account on (use with P554) Note: only used with reliable source or if the person or organization disclosed it.,,"virtual community, online chat, mobile app, media, repository, online service, free software community, online marketplace, crowdfunding platform"
http://www.wikidata.org/entity/P690,space group,symmetry classification for 2 and 3 dimensional patterns or crystals,,"space group, space group P2/n, space group P2₁/n, space group Pc"
http://www.wikidata.org/entity/P264,record label,brand and trademark associated with the marketing of subject music recordings and music videos,"audio release, release group, performing arts group, music unit, musical ensemble, series of creative works, version, edition or translation, album, optical disc, musical group, music video, audiobook, human","record label, video game developer, video game publisher, independent record label"
http://www.wikidata.org/entity/P1429,has pet,pet that a person owns,"group of fictional characters, fictional character, person","animal, fictional creature"
http://www.wikidata.org/entity/P1431,executive producer,executive producer of a movie or TV show,work,human
http://www.wikidata.org/entity/P272,production company,"company that produced this film, audio or performing arts work",work,"organization, production company"
http://www.wikidata.org/entity/P263,official residence,the residence at which heads of government and other senior figures officially reside,,"building, official residence, fictional building"
http://www.wikidata.org/entity/P1416,affiliation,organization that a person or organization is affiliated with (not necessarily member of or employed by),"fictional group of characters, fictional species, serial, fictional organization, group of humans, fictional astronomical object, facility, database, fictional character, organization, human","church building, project, organization, division, Christian movement, religious denomination, institution, institute, structure of worship, fictional gang, fictional municipal police, fictional place of worship, Christian ministry, fictional organization, association, group of humans, fictional group of characters"
http://www.wikidata.org/entity/P550,chivalric order,the chivalric order which a person belongs to,person,order of chivalry
http://www.wikidata.org/entity/P1427,start point,"starting place of this journey, flight, voyage, trek, migration etc.","payload, fictional occurrence, scientific instrument, expedition, itinerary, occurrence, pilgrims' way, vehicle, spacecraft","astronomical object, building, geographical feature, mother ship, service provider, physical location"
